symbol,mpid,firm_name,add_count,cancel_count,execute_count,trade_count,total_shares_added,total_shares_executed,total_shares_traded,first_seen_timestamp,last_seen_timestamp,add_to_execute_count,add_to_execute_avg_ns,add_to_execute_min_ns,add_to_execute_max_ns,add_to_cancel_count,add_to_cancel_avg_ns,add_to_cancel_min_ns,add_to_cancel_max_ns,reaction_to_trade_count,reaction_to_trade_avg_ns,reaction_to_trade_min_ns,reaction_to_trade_max_ns,reaction_to_execute_count,reaction_to_execute_avg_ns,reaction_to_execute_min_ns,reaction_to_execute_max_ns
PLRX,FLTU,FLOW TRADERS US LLC,2,0,0,0,200,0,0,57321231439891,57321345981248,0,,,,0,,,,2,75252124,17981446,132522803,2,73473250,16202572,130743929
PLRX,WCHV,"WELLS FARGO SECURITIES, LLC",168,167,0,0,16800,0,0,57378630980141,57599811454706,0,,,,0,,,,1,395120209,395120209,395120209,1,395120209,395120209,395120209
PLRX,WBPX,"SUMMIT SECURITIES GROUP, LLC",304,301,0,0,30400,0,0,57526232030770,57599811457969,0,,,,0,,,,3,17386565034,17333653061,17492360572,3,34893995712,34841083739,34999791250
MDIV,UNKNOWN,,343,322,2,0,223684,31,0,57000354168125,57599953876847,2,5340783565,91735,10681475395,0,,,,0,,,,0,,,
MDIV,VIRT,Virtu Americas LLC,1,0,0,0,100,0,0,57014288554220,57014288554220,0,,,,0,,,,0,,,,0,,,
MDIV,WBPX,"SUMMIT SECURITIES GROUP, LLC",273,270,0,0,27300,0,0,57302221822693,57599965881664,0,,,,0,,,,0,,,,0,,,
BIDD,UNKNOWN,,215,209,2,0,119571,623,0,57000354903726,57599949448837,2,83605066284,83602465877,83607666691,0,,,,42,31678950075,838367,72343482284,42,31678950075,838367,72343482284
BIDD,VIRT,Virtu Americas LLC,14,12,0,0,7000,0,0,57002700574595,57565950544909,0,,,,0,,,,1,38941496060,38941496060,38941496060,1,38941496060,38941496060,38941496060
BIDD,UBSS,UBS Securities LLC,2,1,0,0,200,0,0,57303190819711,57599935082979,0,,,,0,,,,1,72926046976,72926046976,72926046976,1,72926046976,72926046976,72926046976
GOVT,UNKNOWN,,365,367,0,0,13811481,0,0,57000355188076,57599989340558,0,,,,0,,,,314,30879088844,26310,160915388045,0,,,
FDG,UNKNOWN,,1674,1666,6,0,575213,631,0,57000355936264,57599948496866,6,14128720700,673729858,29373051937,0,,,,1558,87877321268,9425273,298935594133,0,,,
FDG,JPMS,J.P. Morgan Securities LLC,95,94,0,0,9500,0,0,57481110980531,57599803003577,0,,,,0,,,,1,180098077798,180098077798,180098077798,0,,,
BBSC,UNKNOWN,,994,1011,0,0,450900,0,0,57000356224857,57599846882228,0,,,,0,,,,0,,,,0,,,
BBSC,JPMS,J.P. Morgan Securities LLC,96,95,0,0,9600,0,0,57520867147447,57598927888237,0,,,,0,,,,0,,,,0,,,
QGRW,UNKNOWN,,2709,2830,6,0,1062467,801,0,57000357234986,57599962179231,6,7237388689,67243,28543443001,0,,,,0,,,,0,,,
QGRW,JPMS,J.P. Morgan Securities LLC,344,343,0,0,34400,0,0,57130051033468,57588016280086,0,,,,0,,,,0,,,,0,,,
CCSI,UNKNOWN,,1054,830,106,0,78391,4227,0,57000357970530,57599993739533,106,30684953998,12272,154386193798,0,,,,979,52425397968,83662,137454878633,673,29547572434,22270,96906522814
CCSI,WBPX,"SUMMIT SECURITIES GROUP, LLC",1313,1310,0,0,131300,0,0,57140102745708,57599362461745,0,,,,0,,,,3,7516335475,7501911013,7545153911,0,,,
LRN,UNKNOWN,,1798,1465,411,0,80290,17258,0,57000358016166,57599990651795,411,12834148874,2081,328279398644,0,,,,1721,5351678536,2532,37562573322,1693,10423512627,450,62175830385
LRN,WBPX,"SUMMIT SECURITIES GROUP, LLC",940,937,0,0,94000,0,0,57098016377213,57597019685948,0,,,,0,,,,3,7814813954,1141477,11721657474,3,63397219,305892,189565312
LRN,WCHV,"WELLS FARGO SECURITIES, LLC",15,14,0,0,1500,0,0,57585562619052,57599828442166,0,,,,0,,,,1,688859437,688859437,688859437,1,688741463,688741463,688741463
ETHO,UNKNOWN,,42,40,0,0,11268,0,0,57000358862461,57594728908621,0,,,,0,,,,0,,,,0,,,
ETHO,VIRT,Virtu Americas LLC,1,0,0,0,100,0,0,57514604312608,57514604312608,0,,,,0,,,,0,,,,0,,,
WU,UNKNOWN,,1472,1332,162,0,807489,29244,0,57000358881042,57599760457353,162,56487694353,18388,503212760916,0,,,,1375,7082568527,331,48917291895,1319,19124449855,2104,204338389036
WU,GSCO,GOLDMAN SACHS & CO. LLC,1,0,0,0,6100,0,0,57585455913830,57585455913830,0,,,,0,,,,1,1410919767,1410919767,1410919767,1,5092006441,5092006441,5092006441
FIG,UNKNOWN,,71,71,0,0,14200,0,0,57000359271446,57585191210919,0,,,,0,,,,0,,,,0,,,
FIG,VIRT,Virtu Americas LLC,1,0,0,0,100,0,0,57585386104043,57585386104043,0,,,,0,,,,0,,,,0,,,
TNET,UNKNOWN,,537,481,59,0,31521,2273,0,57000360185472,57599991245557,59,24886487086,16320,157606392741,0,,,,487,13657843425,11303,111863718138,425,29950779650,13502,195761286268
TNET,FLTG,FLOW TRADERS U.S. LLC,2,0,0,0,200,0,0,57007871928760,57007871964008,0,,,,0,,,,2,2065878634,2065861010,2065896258,0,,,
TNET,UBSS,UBS Securities LLC,1,0,0,0,100,0,0,57136226028961,57136226028961,0,,,,0,,,,1,5770858490,5770858490,5770858490,1,79207746330,79207746330,79207746330
IVOG,UNKNOWN,,110,104,0,0,20188,0,0,57000360303897,57599918886272,0,,,,0,,,,4,62561003342,51752716165,75326571418,0,,,
M,UNKNOWN,,4218,3859,459,0,910254,68479,0,57000360353077,57599903692543,459,14405555588,2458,273949859245,0,,,,3849,7733662949,573,57785168420,3770,7474643543,491,62565757763
M,FLTU,FLOW TRADERS US LLC,2,0,0,0,200,0,0,57410452058707,57429274422219,0,,,,0,,,,2,12375335891,1225706,24749446076,2,2143261214,372302,4286150127
EHTH,UNKNOWN,,619,375,145,0,68175,6609,0,57000360483090,57599955172957,145,83563776638,8473,517669260184,0,,,,559,21683707196,22075,84247169364,521,17606944171,8401,114335097567
KSS,UNKNOWN,,3094,2776,359,0,695944,63878,0,57000360598232,57599867604180,359,25863749371,13971,468467176297,0,,,,2753,3604653118,901,31402752477,2744,11882870165,459,118737433154
KSS,FLTU,FLOW TRADERS US LLC,4,1,0,0,400,0,0,57470702364462,57571939621196,0,,,,0,,,,4,772686516,955425,2933010460,4,2291895286,156899659,5654828440
KSS,GSCO,GOLDMAN SACHS & CO. LLC,1,0,0,0,4200,0,0,57580355243026,57580355243026,0,,,,0,,,,1,4708225904,4708225904,4708225904,1,3640406104,3640406104,3640406104
CDEI,UNKNOWN,,639,634,0,0,426300,0,0,57000361152944,57599962687758,0,,,,0,,,,0,,,,0,,,
FRTY,UNKNOWN,,174,171,1,0,69201,1,0,57000361422817,57598017427412,1,80042893317,80042893317,80042893317,0,,,,0,,,,29,56712940268,5011149785,110610453331
